iter	Passed	Remaining
0	1	151
1	3	148
2	4	148
3	5	143
4	7	147
5	8	138
6	10	138
7	12	139
8	13	140
9	15	139
10	16	136
11	18	135
12	19	133
13	21	131
14	22	129
15	24	127
16	25	125
17	27	123
18	28	122
19	30	121
20	32	121
21	33	120
22	35	118
23	36	116
24	38	114
25	39	112
26	40	110
27	41	107
28	43	105
29	44	104
30	45	101
31	47	99
32	48	97
33	49	95
34	50	93
35	51	91
36	52	90
37	54	88
38	55	86
39	56	85
40	58	83
41	58	80
42	59	79
43	60	77
44	61	75
45	63	74
46	64	72
47	65	70
48	66	69
49	67	67
50	68	65
51	69	64
52	70	62
53	71	60
54	72	59
55	73	57
56	74	55
57	75	54
58	76	52
59	77	51
60	78	49
61	79	48
62	80	46
63	80	45
64	81	44
65	82	42
66	83	41
67	84	39
68	85	38
69	86	37
70	87	35
71	88	34
72	89	33
73	90	31
74	97	32
75	99	31
76	100	30
77	102	28
78	103	27
79	105	26
80	106	25
81	108	23
82	109	22
83	110	21
84	112	19
85	113	18
86	114	17
87	116	15
88	117	14
89	118	13
90	120	11
91	121	10
92	123	9
93	124	7
94	126	6
95	127	5
96	128	3
97	129	2
98	131	1
99	132	0
